rarity,image
Gaming Legends Series,https://github.com/FortniteFocus/website/blob/main/assets/rarities/GamingLegends.gif?raw=true
Icon Series,https://github.com/FortniteFocus/website/blob/main/assets/rarities/IconSeries.gif?raw=true
